RBP	Metric	Kipoi	MultiTask	SetA	SingleTask	Correlation	Observed intensities	DeepBind	MatrixREDUCE	Ray et al.
RNCMPT00123	AUCs	0.6836195399683958	0.8963968501402922	0.9272256582910892	0.8460166880549365	Pearson	0.927	0.836	0.83	0.477
RNCMPT00123	E-scores	0.7082166231444643	0.8946734632547699	0.9085333648164252	0.8722759152908398	Pearson	0.909	0.857	0.862	0.544
RNCMPT00123	Intensities	0.448152848872776	0.5271773151022268		0.4510388758074309	Pearson		0.461	0.435	0.29
RNCMPT00123	Z-scores	0.5764739154210601	0.8180126178859523	0.9244829678231274	0.7785335030762905	Pearson	0.924	0.707	0.778	0.361
RNCMPT00124	AUCs		0.7077139668203822	0.9110999053544304	0.703053299549137	Pearson	0.911	0.694	0.594	0.568
RNCMPT00124	E-scores		0.7412451293285757	0.8556055672736511	0.7617503525191132	Pearson	0.856	0.767	0.686	0.588
RNCMPT00124	Intensities		0.4979595498271726		0.4800658925563212	Pearson		0.346	0.315	0.164
RNCMPT00124	Z-scores		0.6272524733837214	0.9095562740914622	0.6740039538173326	Pearson	0.91	0.661	0.591	0.288
RNCMPT00126	AUCs	0.0556718856648581	0.8379284754053039	0.8434565678228487	0.4307684664624746	Pearson	0.843	0.702	0.803	0.456
RNCMPT00126	E-scores	0.0907301541228631	0.8325175341404714	0.8424509668030609	0.4986689764276549	Pearson	0.84	0.726	0.81	0.516
RNCMPT00126	Intensities	0.2062474453700199	0.4297273482314544		0.3038520939677201	Pearson		0.309	0.273	0.213
RNCMPT00126	Z-scores	0.1987536755689951	0.7956234322323366	0.8546353314924722	0.4859971362023275	Pearson	0.855	0.526	0.638	0.268
RNCMPT00127	AUCs		0.6306269621562441	0.6524060710046505	0.7001070547479704	Pearson	0.652	0.731	0.732	0.463
RNCMPT00127	E-scores		0.6638203131047512	0.7225649188775111	0.763174524787375	Pearson	0.722	0.756	0.741	0.537
RNCMPT00127	Intensities		0.3230093570983437		0.3722507631306581	Pearson		0.319	0.262	0.129
RNCMPT00127	Z-scores		0.5817624312619889	0.585268671361925	0.6573049632983042	Pearson	0.585	0.553	0.68	0.243
RNCMPT00129	AUCs			0.7917604248391303	0.7913851255441501	Pearson	0.237	0.31	0.332	0.108
RNCMPT00129	E-scores			0.789743081099505	0.8001389866062621	Pearson	0.791	0.733	0.774	0.268
RNCMPT00129	Intensities				0.4592510533535612	Pearson		0.312	0.365	0.103
RNCMPT00129	Z-scores			0.771430609908274	0.7121860735245209	Pearson	0.771	0.625	0.66	0.074
RNCMPT00131	AUCs		0.6139475393468415	0.4880142792837206	0.603593828299407	Pearson	0.488	0.588	0.645	0.152
RNCMPT00131	E-scores		0.672484765752263	0.5736222535960854	0.6596585144436403	Pearson	0.574	0.653	0.667	0.214
RNCMPT00131	Intensities		0.2887368672999529		0.2564690884656332	Pearson		0.237	0.274	0.145
RNCMPT00131	Z-scores		0.5210038457302865	0.3878364509054012	0.5239637121311795	Pearson	0.388	0.494	0.535	0.178
RNCMPT00132	AUCs		0.8017099954435938	0.8931379053018005	0.5936747613745171	Pearson	0.893	0.45	0.654	0.197
RNCMPT00132	E-scores		0.7800673623523462	0.8622667164918879	0.6381745807227913	Pearson	0.862	0.528	0.694	0.347
RNCMPT00132	Intensities		0.4821985841403346		0.368291821095551	Pearson		0.325	0.279	0.229
RNCMPT00132	Z-scores		0.6729732311175686	0.879780786641225	0.4761448376219744	Pearson	0.88	0.332	0.52	0.135
RNCMPT00133	AUCs		0.891293960368884	0.9337210427584344	0.8431875016260575	Pearson	0.934	0.787	0.77	0.568
RNCMPT00133	E-scores		0.8796469137840712	0.9156475733108596	0.8481070524970491	Pearson	0.915	0.759	0.788	0.608
RNCMPT00133	Intensities		0.4305938601187219		0.3777815674520569	Pearson		0.292	0.245	0.18
RNCMPT00133	Z-scores		0.8230594831242292	0.938878188688414	0.7884875666613297	Pearson	0.939	0.756	0.783	0.338
RNCMPT00134	AUCs		0.9653359531759588	0.9715112966408612	0.960954876006366	Pearson	0.972	0.948	0.956	0.935
RNCMPT00134	E-scores		0.9762159739657954	0.967430368668304	0.9757182666873484	Pearson	0.967	0.973	0.975	0.941
RNCMPT00134	Intensities		0.6593363880612428		0.6275226612403089	Pearson		0.582	0.536	0.241
RNCMPT00134	Z-scores		0.8981024797289517	0.9746242164090972	0.9349890389371662	Pearson	0.975	0.945	0.889	0.459
RNCMPT00136	AUCs		0.7843233260437368	0.8538023542567228	0.5965660679159037	Pearson	0.854	0.497	0.613	0.286
RNCMPT00136	E-scores		0.7738077504640027	0.8234671769375163	0.693327051634731	Pearson	0.824	0.604	0.692	0.437
RNCMPT00136	Intensities		0.5462156398970902		0.3789326907476611	Pearson		0.364	0.338	0.195
RNCMPT00136	Z-scores		0.6268591649083444	0.8295848797957857	0.4958572919383431	Pearson	0.83	0.359	0.519	0.184
RNCMPT00137	AUCs		0.8767748574168616	0.8455642026966332	0.797638691628698	Pearson	0.846	0.84	0.79	0.619
RNCMPT00137	E-scores		0.8410573986089188	0.8745705766111325	0.8055627931248833	Pearson	0.875	0.808	0.761	0.574
RNCMPT00137	Intensities		0.4184751536201544		0.3394707138484903	Pearson		0.303	0.228	0.127
RNCMPT00137	Z-scores		0.8144517391478687	0.8246364058867232	0.7874845773052345	Pearson	0.825	0.777	0.745	0.3
RNCMPT00138	AUCs		0.9074515895891234	0.8952347863286256	0.9220125634858736	Pearson	0.895	0.909	0.92	0.326
RNCMPT00138	E-scores		0.9017693122746322	0.9027181751682624	0.9293753479624336	Pearson	0.903	0.916	0.924	0.42
RNCMPT00138	Intensities		0.5225973041904333		0.5641689262631653	Pearson		0.498	0.518	0.184
RNCMPT00138	Z-scores		0.8723966916959979	0.863980156074668	0.8837661654359197	Pearson	0.864	0.875	0.882	0.229
RNCMPT00139	AUCs		0.9371372167634274	0.9226119271133596	0.9275305449275438	Pearson	0.923	0.925	0.919	0.785
RNCMPT00139	E-scores		0.9307171936572896	0.9037243568791232	0.9327252718069174	Pearson	0.904	0.931	0.925	0.792
RNCMPT00139	Intensities		0.6243153034957633		0.5989854705571839	Pearson		0.559	0.556	0.329
RNCMPT00139	Z-scores		0.913067846328669	0.919086559176936	0.8777567066017045	Pearson	0.919	0.876	0.9	0.341
RNCMPT00140	AUCs		0.9097192147930164	0.8505035402344323	0.8949618623072219	Pearson	0.85	0.902	0.893	0.708
RNCMPT00140	E-scores		0.8701020064076753	0.8294365703634169	0.8726913925628152	Pearson	0.831	0.885	0.871	0.674
RNCMPT00140	Intensities		0.4201008511665861		0.3988807596591746	Pearson		0.375	0.364	0.098
RNCMPT00140	Z-scores		0.8890819051329582	0.8275526294659648	0.8708244621776168	Pearson	0.828	0.885	0.875	0.24
RNCMPT00141	AUCs		0.9509211261264776	0.9242793726042476	0.939825414940664	Pearson	0.924	0.933	0.936	0.524
RNCMPT00141	E-scores		0.9378568325085764	0.9057490908755116	0.942545477421709	Pearson	0.906	0.937	0.929	0.574
RNCMPT00141	Intensities		0.6579794721345558		0.6317417149350302	Pearson		0.598	0.587	0.142
RNCMPT00141	Z-scores		0.9151317109520056	0.905417881896692	0.8891669031983706	Pearson	0.905	0.885	0.895	0.25
RNCMPT00142	AUCs		0.7964125178779153	0.7108102028724824	0.8089206460277836	Pearson	0.711	0.794	0.678	0.628
RNCMPT00142	E-scores		0.796050209497127	0.7403228654831777	0.8021149970557966	Pearson	0.742	0.795	0.68	0.683
RNCMPT00142	Intensities		0.3159770438577851		0.2685641361197859	Pearson		0.115	0.018	0.035
RNCMPT00142	Z-scores		0.8069835294231382	0.7362307926845203	0.7927546902191578	Pearson	0.736	0.779	0.701	0.202
RNCMPT00143	AUCs	0.0247334366029367	0.893739448026699	0.8692414805840475	0.9060715245953136	Pearson	0.869	0.903	0.899	0.202
RNCMPT00143	E-scores	0.0635828048961343	0.9086567535929216	0.8919936193186255	0.926072217652852	Pearson	0.892	0.927	0.899	0.138
RNCMPT00143	Intensities	0.1275706107163206	0.4819454399720486		0.4801930554128767	Pearson		0.446	0.439	0.135
RNCMPT00143	Z-scores	0.0312892530006015	0.861009850180236	0.8337513703763598	0.8779463970996112	Pearson	0.834	0.871	0.861	0.137
RNCMPT00144	AUCs			0.8184026043343232	0.8698223871790592	Pearson	0.637	0.444	-0.007	-0.084
RNCMPT00144	E-scores			0.8399617026587801	0.8833024401467009	Pearson	0.84	0.889	0.182	0.161
RNCMPT00144	Intensities				0.4005582693839445	Pearson		0.314	-0.009	0.093
RNCMPT00144	Z-scores			0.7770059219386048	0.8331178741623863	Pearson	0.777	0.823	0.008	0.173
RNCMPT00145	AUCs	0.8389345142444442		0.8406986891778268	0.8789653133502081	Pearson	0.787	0.378	0.355	0.14
RNCMPT00145	E-scores	0.8456137548361993		0.8059432602323544	0.860182475639125	Pearson	0.807	0.87	0.862	0.626
RNCMPT00145	Intensities	0.5701698732193435			0.5779233585687086	Pearson		0.552	0.523	0.293
RNCMPT00145	Z-scores	0.8667326576350394		0.8527442988143231	0.8681074669964715	Pearson	0.853	0.889	0.875	0.333
RNCMPT00146	AUCs		0.9597058540163704	0.9514724580263172	0.9658166726220512	Pearson	0.951	0.96	0.932	0.847
RNCMPT00146	E-scores		0.9548419982603216	0.942399659464176	0.9662208468676416	Pearson	0.943	0.964	0.928	0.865
RNCMPT00146	Intensities		0.6350939187945697		0.6474301181101587	Pearson		0.248	0.117	0.115
RNCMPT00146	Z-scores		0.95535429970019	0.9461782071979972	0.9600112736018662	Pearson	0.946	0.958	0.92	0.551
RNCMPT00147	AUCs	-0.0041880446356207	0.8995505313111727	0.8832674891180102	0.905559161827978	Pearson	0.883	0.899	0.702	0.281
RNCMPT00147	E-scores	0.1803271710218814	0.8636785812744344	0.8543458596142104	0.8809558055600647	Pearson	0.855	0.869	0.696	0.36
RNCMPT00147	Intensities	0.3263260088611537	0.523199358413375		0.5311374037580765	Pearson		0.113	0.032	0.041
RNCMPT00147	Z-scores	0.0503810252855564	0.8608728213758627	0.8494491336456763	0.8606438520410582	Pearson	0.849	0.835	0.644	0.144
RNCMPT00148	AUCs		0.8462745128185516	0.8128432665135549	0.8202688493284892	Pearson	0.813	0.736	0.809	0.075
RNCMPT00148	E-scores		0.8560410343423495	0.8323711979885968	0.8392452893795854	Pearson	0.833	0.798	0.847	0.258
RNCMPT00148	Intensities		0.4772317261411558		0.4482672299037462	Pearson		0.353	0.384	0.083
RNCMPT00148	Z-scores		0.755543861728659	0.7888458928340686	0.7296010018570935	Pearson	0.789	0.648	0.738	0.021
RNCMPT00149	AUCs	0.940760117579468	0.9094757518396352	0.9097992525045214	0.938676370748268	Pearson	0.91	0.938	0.926	0.544
RNCMPT00149	E-scores	0.936754850216422	0.8985748243212586	0.9066313169115884	0.9372085019961716	Pearson	0.907	0.936	0.927	0.557
RNCMPT00149	Intensities	0.5507063663774013	0.5194643382115613		0.5519462225271138	Pearson		0.183	0.175	0.048
RNCMPT00149	Z-scores	0.9082814002022372	0.8880084927770427	0.8811284665881095	0.9102999120656712	Pearson	0.881	0.909	0.9	0.28
RNCMPT00150	AUCs		0.8935817784784985	0.8783641088760084	0.9092501116181876	Pearson	0.881	0.906	0.91	0.689
RNCMPT00150	E-scores		0.8730932870801749	0.8776931609480341	0.9132200307026764	Pearson	0.879	0.913	0.901	0.665
RNCMPT00150	Intensities		0.396098690354448		0.4180945315564461	Pearson		0.39	0.372	0.177
RNCMPT00150	Z-scores		0.902549601525471	0.9011701310057546	0.9182709281744174	Pearson	0.901	0.912	0.917	0.468
RNCMPT00151	AUCs	0.872301134268536	0.8383435507856432	0.8662356768001085	0.8568440425057341	Pearson	0.858	0.819	0.879	0.445
RNCMPT00151	E-scores	0.8800363998981184	0.8434013121551701	0.8583119627543212	0.8745106378466859	Pearson	0.859	0.845	0.882	0.51
RNCMPT00151	Intensities	0.5165042139945545	0.5415335372196264		0.5419797272849675	Pearson		0.499	0.54	0.218
RNCMPT00151	Z-scores	0.8611525879499078	0.8125721056049682	0.8495014507398532	0.8378306723322964	Pearson	0.85	0.818	0.864	0.258
RNCMPT00152	AUCs	0.8728068824754784	0.8609034780129281	0.8591997719532571	0.8774459671952968	Pearson	0.859	0.863	0.87	0.43
RNCMPT00152	E-scores	0.8857651458403629	0.8658684614387498	0.8627616020747025	0.8804759548065464	Pearson	0.863	0.87	0.876	0.485
RNCMPT00152	Intensities	0.486449728395804	0.5198321663393458		0.5305617598719128	Pearson		0.438	0.434	0.16
RNCMPT00152	Z-scores	0.8187749739708872	0.8249106091780851	0.8217276145644726	0.8267395328879354	Pearson	0.822	0.81	0.83	0.239
RNCMPT00153	AUCs	0.6420416551361263	0.8750915370441629	0.81044237753658	0.854710134143764	Pearson	0.813	0.865	-0.087	0.388
RNCMPT00153	E-scores	0.6487663258790528	0.8932930538715781	0.8687107749049108	0.8721079605658102	Pearson	0.869	0.893	-0.087	0.399
RNCMPT00153	Intensities	0.4101327330615117	0.4709927514009746		0.4242689622728164	Pearson		0.243	-0.007	0.083
RNCMPT00153	Z-scores	0.438274285454091	0.8447377547854883	0.8089165458955514	0.7535662573428096	Pearson	0.809	0.82	-0.008	0.122
RNCMPT00154	AUCs	0.4789024201195487		0.6810372591511654	0.7850212760678804	Pearson	0.683	0.8	0.511	0.56
RNCMPT00154	E-scores	0.527619174037148		0.8236669807198427	0.8541996731681147	Pearson	0.825	0.864	0.473	0.582
RNCMPT00154	Intensities	0.167110522398929			0.1842895271044084	Pearson		0.038	0.0	0.015
RNCMPT00154	Z-scores	0.5493374217179345		0.7172878248449827	0.8063744339652376	Pearson	0.717	0.822	0.045	0.221
RNCMPT00155	AUCs	0.8325239699599498	0.8054582774258018	0.7564253398913513	0.7899240732702884	Pearson	0.764	0.838	0.816	0.521
RNCMPT00155	E-scores	0.8300362612908329	0.7871148183200468	0.778523877704953	0.7956830821240098	Pearson	0.78	0.815	0.805	0.647
RNCMPT00155	Intensities	0.5041583453664519	0.5236692903102894		0.4312342611816989	Pearson		0.465	0.372	0.181
RNCMPT00155	Z-scores	0.7411401460703733	0.7822200162108175	0.7327040200506072	0.7188035583164522	Pearson	0.733	0.75	0.772	0.213
RNCMPT00156	AUCs	0.785710435124503	0.7745466185764052	0.8752888560543115	0.7801335865537975	Pearson	0.874	0.744	0.485	0.42
RNCMPT00156	E-scores	0.862705616812388	0.7999817745961458	0.8593290030733192	0.8598453461436735	Pearson	0.86	0.836	0.576	0.546
RNCMPT00156	Intensities	0.67987837965953	0.5329693501645602		0.6668897387505518	Pearson		0.599	0.279	0.317
RNCMPT00156	Z-scores	0.7291794707590227	0.6871857479645755	0.8613290393426163	0.7290041554505964	Pearson	0.861	0.689	0.519	0.391
RNCMPT00157	AUCs	0.9234398878886498	0.9106812349394926	0.8991366658356028	0.9128095161894442	Pearson	0.901	0.924	0.933	0.607
RNCMPT00157	E-scores	0.9339170282474571	0.9071430348052048	0.9095089378073452	0.927265137274003	Pearson	0.91	0.929	0.933	0.596
RNCMPT00157	Intensities	0.6205235727609609	0.4976945366011965		0.5701753109888132	Pearson		0.563	0.502	0.311
RNCMPT00157	Z-scores	0.8558582694649199	0.8694160434019527	0.872352680292309	0.8726033485744099	Pearson	0.872	0.823	0.881	0.259
RNCMPT00158	AUCs	0.2526699254597742	0.897527181713708	0.9452277109157604	0.9030154277767094	Pearson	0.944	0.839	0.557	0.421
RNCMPT00158	E-scores	0.330133965299176	0.8805621882018118	0.9227563580010408	0.8954219535639397	Pearson	0.923	0.855	0.586	0.5
RNCMPT00158	Intensities	0.3952439834619328	0.5751759769854725		0.5092668452169768	Pearson		0.054	0.021	0.029
RNCMPT00158	Z-scores	0.5769078651272124	0.8994211275391455	0.9423691025997984	0.8260300529637234	Pearson	0.942	0.779	0.692	0.275
RNCMPT00159	AUCs	0.3585136905782282	0.7475956345309342	0.7174616347542361	0.710006886784202	Pearson	0.708	0.711	0.761	0.618
RNCMPT00159	E-scores	0.6694474656446139	0.7665955468319645	0.7899494183613827	0.7996201825420213	Pearson	0.791	0.787	0.73	0.787
RNCMPT00159	Intensities	0.3252504007434369	0.3933485949322298		0.3633890011432134	Pearson		0.365	0.352	0.223
RNCMPT00159	Z-scores	0.7576314790081959	0.8626065656551158	0.8648794504794867	0.853549791380789	Pearson	0.865	0.822	0.86	0.34
RNCMPT00160	AUCs		0.9185732606969144	0.9460779509441803	0.8971196110889834	Pearson	0.946	0.934	0.906	0.711
RNCMPT00160	E-scores		0.9315894934300284	0.9306955832005837	0.9397513489063398	Pearson	0.931	0.944	0.942	0.828
RNCMPT00160	Intensities		0.6415959675655248		0.64724629428153	Pearson		0.7	0.71	0.482
RNCMPT00160	Z-scores		0.9189883116696445	0.9739116871036054	0.9387437951315224	Pearson	0.974	0.967	0.949	0.567
RNCMPT00161	AUCs	0.93706182719329	0.9062300535252418	0.912851500799298	0.9361561259477688	Pearson	0.914	0.928	0.918	0.621
RNCMPT00161	E-scores	0.9259534435996616	0.8983366440572189	0.8951037639228943	0.932079336288956	Pearson	0.896	0.918	0.908	0.632
RNCMPT00161	Intensities	0.4802097191907093	0.4544353889256198		0.5240947977737445	Pearson		0.181	0.177	0.06
RNCMPT00161	Z-scores	0.919136227456364	0.8913646618130396	0.8919915733534937	0.9157265170015224	Pearson	0.892	0.911	0.9	0.212
RNCMPT00162	AUCs	0.8055136259500085	0.9333557174966268	0.9310216854613136	0.940940792631939	Pearson	0.931	0.94	0.913	0.609
RNCMPT00162	E-scores	0.8400272982534963	0.9155327086680858	0.9158903934604096	0.928320147298842	Pearson	0.916	0.93	0.907	0.682
RNCMPT00162	Intensities	0.3189809339761775	0.4637724087674134		0.4731566353910097	Pearson		0.363	0.264	0.129
RNCMPT00162	Z-scores	0.7460170776996141	0.9070432640318224	0.9045031979405672	0.9054862147722302	Pearson	0.905	0.898	0.875	0.263
RNCMPT00163	AUCs	0.3302383844980368	0.8604216492578255	0.8412158650965523	0.86687832435016	Pearson	0.846	0.867	0.842	0.821
RNCMPT00163	E-scores	0.2748179698738962	0.7765981816773082	0.7772773144535007	0.7875426186453991	Pearson	0.779	0.795	0.766	0.745
RNCMPT00163	Intensities	0.0328847299288662	0.2593485321930913		0.2701296317859734	Pearson		0.222	0.159	0.114
RNCMPT00163	Z-scores	0.0094961423259999	0.8412422708824588	0.8348016757587908	0.8446567562106293	Pearson	0.835	0.825	0.803	0.317
RNCMPT00164	AUCs	0.927347298328957	0.935184677318477	0.9171280336453832	0.9418056511700336	Pearson	0.912	0.934	0.927	0.601
RNCMPT00164	E-scores	0.9165932577145428	0.9180105138323064	0.8956939133810976	0.9315256440719996	Pearson	0.896	0.924	0.921	0.625
RNCMPT00164	Intensities	0.5590134123429887	0.5874438034436646		0.5830069112529956	Pearson		0.564	0.56	0.134
RNCMPT00164	Z-scores	0.8961761977029381	0.9064621798777376	0.8815169521489066	0.912217403421502	Pearson	0.882	0.903	0.901	0.231
RNCMPT00165	AUCs	0.7800309305534805	0.9373221802406664	0.9301194648366392	0.8902204290266182	Pearson	0.927	0.886	0.893	0.76
RNCMPT00165	E-scores	0.7918164924912258	0.9360628183966676	0.9153316477757568	0.914269786048096	Pearson	0.916	0.912	0.911	0.793
RNCMPT00165	Intensities	0.4481373315726264	0.6496624983980112		0.5706026437522728	Pearson		0.487	0.459	0.145
RNCMPT00165	Z-scores	0.7785327991384547	0.9141285005084866	0.9177126865290554	0.8818820564794629	Pearson	0.918	0.883	0.885	0.177
RNCMPT00166	AUCs		0.943606303993238	0.9488905522016174	0.9572478510043304	Pearson	0.948	0.952	0.952	0.639
RNCMPT00166	E-scores		0.9344223398194998	0.9375536439120646	0.9534644331614656	Pearson	0.938	0.952	0.953	0.618
RNCMPT00166	Intensities		0.6147622513835858		0.6253269114975304	Pearson		0.568	0.553	0.212
RNCMPT00166	Z-scores		0.92780272071093	0.9449373734826808	0.9390926625850052	Pearson	0.945	0.923	0.922	0.261
RNCMPT00167	AUCs	0.696740494829722	0.9094039489169576	0.9181693334992332	0.8398433600638209	Pearson	0.915	0.86	0.899	0.585
RNCMPT00167	E-scores	0.8104537982069812	0.9177709172771388	0.910432139828554	0.8818047677165608	Pearson	0.911	0.888	0.908	0.735
RNCMPT00167	Intensities	0.549347779212796	0.6091133288196768		0.5154994392262107	Pearson		0.503	0.479	0.304
RNCMPT00167	Z-scores	0.7959375839856724	0.9176253305506064	0.9224825762879618	0.8432931523297997	Pearson	0.922	0.83	0.863	0.347
RNCMPT00168	AUCs	0.8239521181202079	0.8405061247095502	0.9100044506858828	0.7942569990286115	Pearson	0.91	0.849	0.866	0.627
RNCMPT00168	E-scores	0.8567857287182613	0.8569511549728072	0.8918688032297618	0.8324985594132319	Pearson	0.892	0.865	0.869	0.646
RNCMPT00168	Intensities	0.6631882008987315	0.6213250184630884		0.5914012320109057	Pearson		0.61	0.616	0.468
RNCMPT00168	Z-scores	0.9348456594461948	0.9199312040367896	0.9563233458544768	0.9280002954230115	Pearson	0.956	0.946	0.952	0.684
RNCMPT00169	AUCs	0.920498742148781	0.9295522104578128	0.9348161619961975	0.9271532794653068	Pearson	0.932	0.903	0.892	0.513
RNCMPT00169	E-scores	0.9158852800364276	0.9127042414802934	0.9113014444928498	0.9226221460857436	Pearson	0.912	0.9	0.884	0.525
RNCMPT00169	Intensities	0.586218569852745	0.6061920386789704		0.5940704791906697	Pearson		0.542	0.462	0.172
RNCMPT00169	Z-scores	0.8726418833585269	0.9005705337384254	0.9147442857075012	0.8730900487088733	Pearson	0.915	0.861	0.861	0.166
RNCMPT00170	AUCs	0.8533131895467461	0.7956278675902402	0.843058269940278	0.8702759786139644	Pearson	0.839	0.858	0.86	0.247
RNCMPT00170	E-scores	0.8512603551082722	0.7946859300099819	0.8475778077666215	0.8860465856495742	Pearson	0.848	0.873	0.869	0.336
RNCMPT00170	Intensities	0.4231032184306087	0.4216654701730709		0.4345013657627046	Pearson		0.379	0.394	0.111
RNCMPT00170	Z-scores	0.8192209392857435	0.7529066794129736	0.7836253803935253	0.8272539408065144	Pearson	0.784	0.813	0.829	0.212
RNCMPT00171	AUCs	0.9216730529167074	0.9371603295490436	0.898535779610595	0.9402377429367834	Pearson	0.894	0.924	0.912	0.571
RNCMPT00171	E-scores	0.901644591266171	0.9050571645127018	0.8552178368004288	0.9186817927909297	Pearson	0.856	0.91	0.894	0.593
RNCMPT00171	Intensities	0.6213090008791389	0.6498751716757266		0.6512924311556014	Pearson		0.579	0.602	0.249
RNCMPT00171	Z-scores	0.8951576820101438	0.913252194003746	0.8796955637177494	0.9162734101665688	Pearson	0.88	0.898	0.883	0.242
RNCMPT00172	AUCs		0.872166155954113	0.8687086567700308	0.8970582681916468	Pearson	0.868	0.85	0.864	0.548
RNCMPT00172	E-scores		0.8665789402935888	0.8609297599672404	0.9045012752677032	Pearson	0.861	0.864	0.876	0.623
RNCMPT00172	Intensities		0.4511353408319947		0.4578236356559507	Pearson		0.15	0.14	0.059
RNCMPT00172	Z-scores		0.8452684166484324	0.8307681349758027	0.8717778592243919	Pearson	0.831	0.827	0.843	0.329
RNCMPT00173	AUCs	0.6069082076007916	0.9031757897390708	0.9247903347731962	0.9134939615950444	Pearson	0.923	0.904	0.879	0.708
RNCMPT00173	E-scores	0.6356689812071797	0.8903780709522463	0.8952125565642152	0.906606880849571	Pearson	0.896	0.903	0.857	0.664
RNCMPT00173	Intensities	0.4164692928147625	0.5944505028107822		0.5724412231292836	Pearson		0.514	0.347	0.23
RNCMPT00173	Z-scores	0.6830467516077551	0.8784232001986635	0.9113495293546598	0.862599207678629	Pearson	0.911	0.863	0.852	0.32
RNCMPT00174	AUCs		0.8874227753835942	0.8934116947100952	0.8853594771203334	Pearson	0.892	0.872	0.874	0.367
RNCMPT00174	E-scores		0.8846474371203138	0.8845748274872929	0.8944550936531959	Pearson	0.885	0.883	0.886	0.511
RNCMPT00174	Intensities		0.5528014125257174		0.5204473804446647	Pearson		0.445	0.453	0.157
RNCMPT00174	Z-scores		0.8609442674012971	0.8629647855539727	0.8618388860114508	Pearson	0.863	0.846	0.86	0.27
RNCMPT00175	AUCs		0.8918631342920257	0.9281582528960992	0.889692291677138	Pearson	0.928	0.862	0.851	0.407
RNCMPT00175	E-scores		0.8885199117928129	0.912051563680188	0.9051082288963016	Pearson	0.912	0.879	0.883	0.462
RNCMPT00175	Intensities		0.5625163233815259		0.516991568410592	Pearson		0.342	0.315	0.13
RNCMPT00175	Z-scores		0.853873806057624	0.9075323509682424	0.8469901181353667	Pearson	0.908	0.812	0.826	0.249
RNCMPT00176	AUCs	0.8696439586893651	0.9273008894342584	0.956268538234944	0.9480977406571396	Pearson	0.956	0.941	0.943	0.774
RNCMPT00176	E-scores	0.8924622001765241	0.9328734285182828	0.9337123348418136	0.9586785012156516	Pearson	0.934	0.959	0.948	0.791
RNCMPT00176	Intensities	0.6206541688781201	0.6340442607656098		0.6209076828088046	Pearson		0.588	0.58	0.245
RNCMPT00176	Z-scores	0.8984146974674465	0.9344655763398296	0.9539559636880408	0.9394345813341096	Pearson	0.954	0.944	0.933	0.42
RNCMPT00177	AUCs		0.8348569624210577	0.8414638010160147	0.8908317819634062	Pearson	0.84	0.86	0.867	0.547
RNCMPT00177	E-scores		0.811985398253944	0.8308122589873361	0.877061974543467	Pearson	0.831	0.852	0.86	0.607
RNCMPT00177	Intensities		0.4857004194733657		0.5243488944025001	Pearson		0.432	0.489	0.152
RNCMPT00177	Z-scores		0.7976723714485568	0.7893559795987777	0.8558229359179452	Pearson	0.789	0.827	0.836	0.327
RNCMPT00178	AUCs	0.936060930833806	0.9471872324911526	0.9493626711994044	0.944502771642416	Pearson	0.949	0.929	0.947	0.746
RNCMPT00178	E-scores	0.9481458103064444	0.9491918930161714	0.938232367944169	0.9505643677864932	Pearson	0.938	0.943	0.953	0.766
RNCMPT00178	Intensities	0.6887998455594836	0.6698515636643504		0.6845584418976167	Pearson		0.579	0.561	0.243
RNCMPT00178	Z-scores	0.927850496050602	0.9320321814756723	0.9404136655942456	0.9217684635325358	Pearson	0.94	0.925	0.941	0.268
RNCMPT00179	AUCs	0.9225757946548468	0.9542970021542396	0.9578629581788308	0.954035082478458	Pearson	0.957	0.938	0.935	0.84
RNCMPT00179	E-scores	0.932343145767212	0.9528891341524413	0.9438827680723386	0.9541404507086392	Pearson	0.944	0.94	0.931	0.823
RNCMPT00179	Intensities	0.6492710297868582	0.647984002833293		0.6174949204542912	Pearson		0.638	0.579	0.226
RNCMPT00179	Z-scores	0.9162927092938126	0.9230808423324688	0.9600755645334522	0.9349754226558252	Pearson	0.96	0.911	0.921	0.327
RNCMPT00180	AUCs		0.9404099994407462	0.945227201555015	0.9318066705641838	Pearson	0.945	0.937	0.932	0.48
RNCMPT00180	E-scores		0.9280829226338864	0.9245699456198184	0.9343297514024606	Pearson	0.925	0.939	0.928	0.525
RNCMPT00180	Intensities		0.6390303414621203		0.5771114269051145	Pearson		0.621	0.603	0.393
RNCMPT00180	Z-scores		0.9376049388302368	0.9499699377781626	0.9277827904321776	Pearson	0.95	0.913	0.919	0.489
RNCMPT00181	AUCs		0.8599315609399417	0.8968482638635865	0.9044260343558724	Pearson	0.895	0.898	0.294	0.566
RNCMPT00181	E-scores		0.876954532893861	0.8820227498784934	0.9161700728594268	Pearson	0.883	0.919	0.324	0.554
RNCMPT00181	Intensities		0.5685165133733716		0.5774688688744749	Pearson		0.464	0.009	0.161
RNCMPT00181	Z-scores		0.8907974020443219	0.9077936168761704	0.92081825098518	Pearson	0.908	0.918	0.064	0.256
RNCMPT00182	AUCs		0.885149246035352	0.8794957176843531	0.8795075136970942	Pearson	0.878	0.873	0.884	0.494
RNCMPT00182	E-scores		0.8616110363625427	0.8489274576055024	0.8741606829716416	Pearson	0.85	0.873	0.879	0.55
